epoch,acc,loss,val_acc,val_loss
0,0.9709375,0.08455535954833612,0.97725,0.09929764614719898
1,0.9858438,0.04648898776911665,0.98975,0.0350818168669939
2,0.9898125,0.03362289836487616,0.994125,0.024318173130974174
3,0.99059373,0.02958734312870365,0.994375,0.02051697939285077
4,0.99215627,0.024919508230184875,0.995,0.02166422018688172
5,0.9935,0.021331812958163936,0.9945,0.01918178131780587
6,0.9939375,0.01884562576581811,0.994875,0.0175445158170769
7,0.9946875,0.017284913062553187,0.99625,0.014679540440323763
8,0.99490625,0.015786757721469938,0.9955,0.016875552922749195
9,0.99575,0.013877253391536669,0.993875,0.023468468023231253
10,0.9961563,0.012914266446722479,0.991875,0.025475944718695246
11,0.996125,0.01320903208756681,0.993875,0.02220394443697296
12,0.9965938,0.01105848275153312,0.9975,0.011191840860643424
13,0.99665624,0.010274445010753424,0.995125,0.01960981705278391
14,0.9964375,0.011913070796177636,0.996875,0.014428101454832358
15,0.9975,0.008552974615100538,0.99625,0.01449004325165879
16,0.9975625,0.009246254123690961,0.996625,0.013476708650356158
17,0.99725,0.009493981772826373,0.998125,0.01027845436046482
18,0.99746877,0.008570027649487201,0.996875,0.013514766961132409
19,0.99753124,0.008581836739729738,0.995625,0.017372014867374674
20,0.99771875,0.00763100213886446,0.995125,0.020031521647790214
21,0.99725,0.008481274521391241,0.997375,0.012677035313041415
22,0.99825,0.006528174461248909,0.9945,0.021393255375209263
23,0.9985,0.004813690794550439,0.998375,0.012015583130938466
24,0.99825,0.005892602021474886,0.99825,0.012386528145318152
25,0.99803126,0.007211588257122003,0.997625,0.012585473855517193
26,0.998625,0.0060753697570412445,0.9945,0.022407918627373874
27,0.99878126,0.005082273857129849,0.998375,0.010235943544983457
28,0.99846876,0.005196346825728597,0.997875,0.012193319239158881
29,0.9984375,0.005796636054291412,0.9975,0.016572273071826203
